district,state,year,quarter,registered_users,app_openings
virudhunagar district,tamil-nadu,2022,1,346363,17177364
dindigul district,tamil-nadu,2022,1,440072,27821213
sivaganga district,tamil-nadu,2022,1,241188,20384928
tenkasi district,tamil-nadu,2022,1,204182,9468909
chengalpattu district,tamil-nadu,2022,1,1621177,16221250
kanniyakumari district,tamil-nadu,2022,1,370820,5009074
tirunelveli district,tamil-nadu,2022,1,338716,13100432
thiruvallur district,tamil-nadu,2022,1,1970646,24538065
theni district,tamil-nadu,2022,1,245438,12750343
ranipet district,tamil-nadu,2022,1,325358,10227642
namakkal district,tamil-nadu,2022,1,399282,14545554
vellore district,tamil-nadu,2022,1,449961,11694691
thiruvarur district,tamil-nadu,2022,1,170694,9618776
tiruchirappalli district,tamil-nadu,2022,2,725751,23738205
ramanathapuram district,tamil-nadu,2022,2,222241,19935706
krishnagiri district,tamil-nadu,2022,2,818552,49292179
cuddalore district,tamil-nadu,2022,2,556402,17547836
kancheepuram district,tamil-nadu,2022,2,1220237,12030323
tiruppur district,tamil-nadu,2022,2,1070480,29868571
dharmapuri district,tamil-nadu,2022,2,427150,34230475
thoothukkudi district,tamil-nadu,2022,2,345560,20332081
thanjavur district,tamil-nadu,2022,2,470070,14935622
madurai district,tamil-nadu,2022,2,864806,22632794
tiruvannamalai district,tamil-nadu,2022,2,516276,33126041
salem district,tamil-nadu,2022,2,954155,35441956
nagapattinam district,tamil-nadu,2022,2,239174,11263032
tirupathur district,tamil-nadu,2022,2,334378,15520642
ariyalur district,tamil-nadu,2022,2,141760,9886229
chennai district,tamil-nadu,2022,2,2509588,9484073
the nilgiris district,tamil-nadu,2022,2,182412,13365582
erode district,tamil-nadu,2022,2,621587,20007565
karur district,tamil-nadu,2022,2,235178,21185242
kallakkurichi district,tamil-nadu,2022,2,324021,17183000
viluppuram district,tamil-nadu,2022,2,400301,18554839
pudukkottai district,tamil-nadu,2022,2,250443,28296586
perambalur district,tamil-nadu,2022,2,118807,8964011
coimbatore district,tamil-nadu,2022,2,1775760,32370054
virudhunagar district,tamil-nadu,2022,2,365515,20510885
dindigul district,tamil-nadu,2022,2,464161,33849388
sivaganga district,tamil-nadu,2022,2,254519,23366867
tenkasi district,tamil-nadu,2022,2,215290,11631764
chengalpattu district,tamil-nadu,2022,2,1704864,17802897
kanniyakumari district,tamil-nadu,2022,2,390775,5454833
tirunelveli district,tamil-nadu,2022,2,356993,15300245
thiruvallur district,tamil-nadu,2022,2,2075274,26026849
theni district,tamil-nadu,2022,2,258803,15309586
ranipet district,tamil-nadu,2022,2,343090,11686387
namakkal district,tamil-nadu,2022,2,421279,16353116
vellore district,tamil-nadu,2022,2,473994,13056808
thiruvarur district,tamil-nadu,2022,2,180074,10723137
tiruchirappalli district,tamil-nadu,2022,3,763327,26991002
ramanathapuram district,tamil-nadu,2022,3,233402,25202876
krishnagiri district,tamil-nadu,2022,3,862231,58865896
cuddalore district,tamil-nadu,2022,3,586020,19393232
kancheepuram district,tamil-nadu,2022,3,1284243,13738417
tiruppur district,tamil-nadu,2022,3,1128474,35519711
dharmapuri district,tamil-nadu,2022,3,450260,37905962
thoothukkudi district,tamil-nadu,2022,3,363372,25917848
thanjavur district,tamil-nadu,2022,3,494223,16319851
madurai district,tamil-nadu,2022,3,910111,25043694
tiruvannamalai district,tamil-nadu,2022,3,543589,41520495
salem district,tamil-nadu,2022,3,1005031,42989254
nagapattinam district,tamil-nadu,2022,3,251603,14208231
tirupathur district,tamil-nadu,2022,3,352443,18292108
ariyalur district,tamil-nadu,2022,3,149084,10805808
chennai district,tamil-nadu,2022,3,2635738,8736294
the nilgiris district,tamil-nadu,2022,3,191664,13756972
erode district,tamil-nadu,2022,3,654373,24140402
karur district,tamil-nadu,2022,3,247251,25004042
kallakkurichi district,tamil-nadu,2022,3,341416,20441688
viluppuram district,tamil-nadu,2022,3,421487,21647789
pudukkottai district,tamil-nadu,2022,3,262926,33814299
perambalur district,tamil-nadu,2022,3,124952,10607700
coimbatore district,tamil-nadu,2022,3,1867655,36137898
virudhunagar district,tamil-nadu,2022,3,384815,25858491
dindigul district,tamil-nadu,2022,3,488441,38288729
sivaganga district,tamil-nadu,2022,3,267326,29111159
tenkasi district,tamil-nadu,2022,3,226380,14369177
chengalpattu district,tamil-nadu,2022,3,1791530,18710626
kanniyakumari district,tamil-nadu,2022,3,411655,6596430
tirunelveli district,tamil-nadu,2022,3,375362,18623924
thiruvallur district,tamil-nadu,2022,3,2183990,29108780
theni district,tamil-nadu,2022,3,272745,18586327
ranipet district,tamil-nadu,2022,3,361284,13305109
namakkal district,tamil-nadu,2022,3,443273,19838171
vellore district,tamil-nadu,2022,3,499041,15140968
thiruvarur district,tamil-nadu,2022,3,189247,12198983
tiruchirappalli district,tamil-nadu,2022,4,798742,32716100
ramanathapuram district,tamil-nadu,2022,4,242901,11670114
krishnagiri district,tamil-nadu,2022,4,902906,74383349
cuddalore district,tamil-nadu,2022,4,612577,30099576
kancheepuram district,tamil-nadu,2022,4,1346845,64935793
tiruppur district,tamil-nadu,2022,4,1183174,67479751
dharmapuri district,tamil-nadu,2022,4,471109,34306151
thoothukkudi district,tamil-nadu,2022,4,378714,16378823
thanjavur district,tamil-nadu,2022,4,515959,21549397
madurai district,tamil-nadu,2022,4,953739,41569996
tiruvannamalai district,tamil-nadu,2022,4,567805,32921900
salem district,tamil-nadu,2022,4,1052099,59100611
nagapattinam district,tamil-nadu,2022,4,262020,11334862
tirupathur district,tamil-nadu,2022,4,369186,26050043
ariyalur district,tamil-nadu,2022,4,155220,7873071
chennai district,tamil-nadu,2022,4,2763151,90750262
the nilgiris district,tamil-nadu,2022,4,199839,10222030
erode district,tamil-nadu,2022,4,684126,31641358
karur district,tamil-nadu,2022,4,258049,13154773
kallakkurichi district,tamil-nadu,2022,4,356553,20960049
viluppuram district,tamil-nadu,2022,4,440319,23825795
pudukkottai district,tamil-nadu,2022,4,273282,13993977
perambalur district,tamil-nadu,2022,4,130138,6400251
coimbatore district,tamil-nadu,2022,4,1955681,95539371
virudhunagar district,tamil-nadu,2022,4,402140,18560145
dindigul district,tamil-nadu,2022,4,510056,29599663
sivaganga district,tamil-nadu,2022,4,278300,14398648
tenkasi district,tamil-nadu,2022,4,236123,11229723
chengalpattu district,tamil-nadu,2022,4,1876163,79404956
kanniyakumari district,tamil-nadu,2022,4,430646,16181824
tirunelveli district,tamil-nadu,2022,4,391902,17863624
thiruvallur district,tamil-nadu,2022,4,2290089,105152328
theni district,tamil-nadu,2022,4,285305,15287848
ranipet district,tamil-nadu,2022,4,378016,22294780
namakkal district,tamil-nadu,2022,4,463431,23754417
vellore district,tamil-nadu,2022,4,522921,28350601
thiruvarur district,tamil-nadu,2022,4,196886,8251663
tiruchirappalli district,tamil-nadu,2023,1,834366,30619756
ramanathapuram district,tamil-nadu,2023,1,253860,29573495
krishnagiri district,tamil-nadu,2023,1,944553,68436058
cuddalore district,tamil-nadu,2023,1,640477,23885306
kancheepuram district,tamil-nadu,2023,1,1408216,14091568
tiruppur district,tamil-nadu,2023,1,1237941,36812228
dharmapuri district,tamil-nadu,2023,1,493000,40417160
thoothukkudi district,tamil-nadu,2023,1,395704,28593036
thanjavur district,tamil-nadu,2023,1,539170,23071099
madurai district,tamil-nadu,2023,1,996514,28725385
tiruvannamalai district,tamil-nadu,2023,1,593924,46080245
salem district,tamil-nadu,2023,1,1100202,52819330
nagapattinam district,tamil-nadu,2023,1,273807,16315418
tirupathur district,tamil-nadu,2023,1,386067,18240139
ariyalur district,tamil-nadu,2023,1,162294,13803622
chennai district,tamil-nadu,2023,1,2885933,7756177
the nilgiris district,tamil-nadu,2023,1,208529,19644672
erode district,tamil-nadu,2023,1,715174,25457169
karur district,tamil-nadu,2023,1,269769,27323949
kallakkurichi district,tamil-nadu,2023,1,373516,24458111
viluppuram district,tamil-nadu,2023,1,460488,25910140
pudukkottai district,tamil-nadu,2023,1,285472,38328599
perambalur district,tamil-nadu,2023,1,135997,10620367
coimbatore district,tamil-nadu,2023,1,2042019,38823210
virudhunagar district,tamil-nadu,2023,1,420518,28477992
dindigul district,tamil-nadu,2023,1,533017,46991214
